customer_id,verified_review_count
14599355,1
14599423,1
14599999,1
14601746,1
14602162,1
14603258,2
14605081,1
14605996,2
14607383,1
14607876,1
14607939,1
14612509,1
14613804,6
14619177,1
14620959,1
14623947,2
14626827,2
14627342,1
14628309,1
14629836,1
14630338,1
14633495,1
14635104,2
14635469,1
14635937,1
14636161,1
14636462,2
14637497,1
14638897,1
14640825,1
14641943,1
14642138,1
14645277,1
14648489,1
14648823,1
14651271,1
14653243,1
14654098,1
14654811,1
14658663,2
14659163,1
14659434,1
14659975,1
14662878,2
14663710,1
14664785,1
14665045,1
14665908,1
14666501,1
14667739,1
14668036,1
14668280,1
14668452,1
14669022,1
14669172,2
14669238,1
14669326,1
14669383,1
14671326,1
14672062,1
14677590,1
14682361,1
14682373,1
14682744,1
14682814,1
14683216,1
14685100,1
14685899,1
14688225,1
14692519,4
14697480,1
14697687,1
14706254,1
14708269,1
14708325,1
14712698,2
14712728,1
14713222,1
14713601,1
14715488,6
14716735,2
14716871,1
14720708,1
14721299,4
14722410,1
14726221,1
14728812,1
14728838,1
14729696,1
14730315,1
14730582,1
14732321,1
14733946,1
14734160,2
14736079,1
14737857,1
14739926,1
14740139,1
14740530,1
14741559,1
14741926,3
14744058,1
14744850,1
14747766,1
14748114,1
14748399,1
14748620,1
14749792,1
14750256,1
14750628,2
14753137,1
14755693,1
14757454,1
14758725,2
14759722,1
14759824,1
14760339,3
14762382,1
14763507,1
14764326,1
14765309,3
14765363,1
14766202,3
14768438,1
14771409,1
14772463,2
14773458,1
14775634,2
14776857,1
14777475,1
14777618,1
14777773,1
14778080,1
14782763,1
14783144,1
14785886,1
14787362,1
14788363,1
14789046,1
14789770,2
14790632,1
14792739,1
14797401,1
14799220,1
14806998,1
14807996,1
14808046,2
14808621,1
14810040,1
14810049,1
14811357,1
14813543,1
14815165,1
14818226,1
14823579,1
14827210,1
14829554,1
14830251,1
14831507,1
14832884,1
14832919,1
14833987,1
14834453,1
14838860,1
14842235,1
14842822,1
14843158,1
14844445,1
14844542,2
14846839,1
14849490,1
14849789,1
14849885,2
14850089,7
14850922,2
14851269,1
14851618,2
14853569,1
14853683,1
14854685,1
14861530,2
14862168,1
14864009,1
14864062,1
14871216,2
14871675,1
14872169,1
14873392,2
